S.No,States/UTs,Overturning - 2014,Head on Collision - Total Acc. - 2014,Rear end Collision - Total Acc. - 2014,Collision brush/side swip - Total Acc. - 2014,Right - engled collision - Total Acc. - 2014,Skiding - Total Acc. - 2014,Right Turn collision - Total Acc. - 2014,Hit and Run - Total Acc. - 2014,Others - Total Acc. - 2014
1,Andhra Pradesh,2684,2684,2684,2684,2684,2684,2684,2684,2684
2,Arunachal Pradesh,53,14,10,15,17,15,13,51,17
3,Assam,1608,719,411,110,206,64,335,1603,2088
4,Bihar,912,1242,906,706,747,635,546,1847,2015
5,Chhattisgarh,1888,2016,1209,953,850,977,683,1848,3397
6,Goa,1169,954,407,242,250,407,131,116,553
7,Gujarat,2449,4856,3331,2645,1149,1068,1057,2745,4412
8,Haryana,1608,1615,915,426,380,457,627,1712,2936
9,Himachal Pradesh,458,233,50,31,69,187,48,359,1623
10,Jammu & Kashmir,1039,227,31,0,42,2220,49,1473,780
11,Jharkhand,768,458,232,189,199,162,229,962,2002
12,Karnataka,3904,4758,4606,2605,2726,3571,2404,3098,16041
13,Kerala,6480,15323,4704,1802,2394,2415,2465,324,375
14,Madhya Pradesh,4859,16933,7538,3594,3292,1493,3576,4246,7941
15,Maharashtra,9684,9211,10424,1778,3033,2711,3088,10323,11375
16,Manipur,44,68,27,53,53,41,45,100,312
17,Meghalaya,34,23,29,25,48,124,26,58,175
18,Mizoram,1,19,5,4,0,2,1,37,63
19,Nagaland,7,49,4,9,0,36,0,110,90
20,Orissa,1597,1373,873,386,460,391,690,1106,2772
21,Punjab,876,1277,893,196,257,140,411,1270,1071
22,Rajasthan,2878,7343,3339,1151,886,304,861,4964,2902
23,Sikkim,0,15,3,0,0,77,0,0,108
24,Tamil Nadu,10516,15970,9330,1454,3158,3631,2856,3405,16930
25,Telangana,1730,3358,1582,459,712,940,634,1862,8801
26,Tripura,100,82,29,2,13,0,17,394,79
27,Uttarakhand,130,313,287,78,70,90,59,168,215
28,Uttar Pradesh,4073,3455,1678,1416,1869,1249,2928,5380,8986
29,West Bengal,1830,1260,889,554,802,603,635,2011,4291
30,A & N Islands,45,42,19,3,10,8,10,19,62
31,Chandigarh,63,72,66,0,37,17,43,69,2
32,D & N Haveli,3,1,2,0,0,0,0,24,57
33,Daman & Diu,1,10,3,0,1,1,3,2,18
34,Delhi,816,12857,489,5758,797,409,4467,9023,300
35,Lakshadweep,0,0,0,0,0,0,0,0,1
36,Puducherry,59,555,215,21,52,40,66,77,26
