Getting page faults for single process:
Number of major page faults = 0
Number of minor page faults = 0
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 1
Number of minor page faults = 33204
Number of major page faults = 0
Number of minor page faults = 0
