Getting page faults for all the processes:
Number of major page faults = 0
Number of minor page faults = 0
Number of major page faults = 85176
Number of minor page faults = 0
Number of major page faults = 6030882
Number of minor page faults = 0
Number of major page faults = 12123774
Number of minor page faults = 0
Number of major page faults = 18363852
Number of minor page faults = 0
Number of major page faults = 24751350
Number of minor page faults = 0
Number of major page faults = 31286034
Number of minor page faults = 0
Number of major page faults = 37968138
Number of minor page faults = 0
Number of major page faults = 44797662
Number of minor page faults = 0
Number of major page faults = 51774840
Number of minor page faults = 0
Number of major page faults = 58899438
Number of minor page faults = 0
Number of major page faults = 66171456
Number of minor page faults = 0
Number of major page faults = 73590894
Number of minor page faults = 0
Number of major page faults = 81157986
Number of minor page faults = 0
Number of major page faults = 88872498
Number of minor page faults = 0
Number of major page faults = 96734430
Number of minor page faults = 0
Number of major page faults = 104743782
Number of minor page faults = 0
Number of major page faults = 104743782
Number of minor page faults = 0
